source_id,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag
196704386853131136,166.95480192366352,9.672544701753914,0.4193772666432434,0.01959838,1.1990858318194901,0.020155786,-2.580777397068018,0.015582701,-21.037836,1.9997916,12.947006
196809385917525248,166.6985622021745,9.121140410982635,1.5458455677692695,0.025363946,-4.809769593802466,0.0254814,-9.206941448337219,0.018035559,24.00717,1.4811723,12.733427
196819251458196736,166.6768926168099,9.572839968479778,0.8017600129398024,0.034614623,1.064171339970343,0.024947912,-4.277222629992558,0.021116111,-26.416351,3.5906277,13.924823
196838767789939072,166.5135407094186,9.135926561578282,0.38810288569441587,0.013058492,-0.5482956070197099,0.015328648,-3.4199992431893875,0.01092507,-10.185758,1.4763433,13.377325
196848556019275392,166.50423047024245,9.048881388332406,1.075750165914573,0.016815703,-4.776367739007185,0.017889222,-9.594704583665013,0.012761022,-0.9492832,2.3010375,12.978994
196856944091547648,166.6362278053242,9.150449097358228,0.6956604743020649,0.01406046,2.443328712532219,0.015134321,-4.377981942851675,0.011243078,53.836452,0.4546063,11.864611
196859516774537216,166.62276723253507,9.414423024384629,5.67289504172812,0.024479099,-9.431917700693772,0.024752488,-8.062026174740627,0.017372549,8.766525,0.47004563,11.508025
196860758022266368,166.56113807106402,9.405096316917637,2.370954862036138,0.021590803,-2.2832699286825506,0.022782406,-0.25328151634680685,0.015822783,-0.06632672,3.492976,13.449611
196861548296364928,166.56676191297262,9.269097225011157,0.7579928882777985,0.019578164,2.2204913116517577,0.019421862,-2.0337688184372467,0.014201436,-25.173134,4.3225493,13.762166
196869244877401856,166.543336112061,9.728263709359188,0.37788320911647655,0.017181965,0.4342204479314874,0.016857695,-1.1265371733792149,0.01199006,18.902456,0.48014086,12.831684
196880922891533440,166.36919182803246,9.484560096929672,0.3068664982947144,0.023376476,0.47734186128520095,0.023774344,-2.155839016961448,0.017912515,-12.714617,0.18657546,11.252362
